YEAR,SONG,ARTIST,URI,SONG_IMG,TRACK_DURATION
1980,Call Me,Blondie,spotify:track:4qO03RMQm88DdpTJcxlglY,https://i.scdn.co/image/ab67616d0000b273ebc918cfb51e9ced7349f436,212600
1981,Bette Davis Eyes,Kim Carnes,spotify:track:0odIT9B9BvOCnXfS0e4lB5,https://i.scdn.co/image/ab67616d0000b2738ccc17f29764d812062204a8,228000
1982,Physical,Olivia Newton-John,spotify:track:6egmD7auKp3N7gy72uBnFQ,https://i.scdn.co/image/ab67616d0000b27375ac3619504aedbf80a8aae4,225992
1983,Every Breath You Take,The Police,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,253920
1984,When Doves Cry,Prince,spotify:track:6sby78fghipoXHQLeeZFFH,https://i.scdn.co/image/ab67616d0000b2738a2ce3f148f57584269c3782,354133
1985,Careless Whisper,Wham,spotify:track:5WDLRQ3VCdVrKw0njWe5E5,https://i.scdn.co/image/ab67616d0000b273813629baee66b2ec5f90ebee,300106
1986,That’s What Friends Are For,Dionne Warwick,spotify:track:1OzrlK57iLTIjmbZC1ppWM,https://i.scdn.co/image/ab67616d0000b2732c65840d117b54c8d2a6cd2a,255933
1987,Walk Like An Egyptian,Bangles,spotify:track:1Jwc3ODLQxtbnS8M9TflSP,https://i.scdn.co/image/ab67616d0000b273fed4a89ebe66064c67f2f4ea,204706
1988,Faith,George Michael,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956,193200
1989,Look Away,Chicago,spotify:track:5FoeE0CWMs0CbX0udYutDS,https://i.scdn.co/image/ab67616d0000b2732971279a8da35a6526264eee,241333
1990,Hold On,Wilson Phillips,spotify:track:4VZDv8sASBS8UruUBGTFdk,https://i.scdn.co/image/ab67616d0000b2733168e1f416b81862ccc83594,266866
1991,(Everything I Do) I Do It For You,Bryan Adams,spotify:track:1Eb90nmqTrxylKFhcUzW8P,https://i.scdn.co/image/ab67616d0000b27305a41288f037a08fb45db5e2,393640
